 r/R200_host	    v/v_crit
 0.554432970	 0.980813093
 1.247220951	 0.461650803
 1.057904126	 0.903302259
 0.320161602	 1.028449956
 0.701605639	 0.894172281
 1.355189816	 0.434643795
 1.092755801	 0.436360433
 0.914475797	 0.558100903
 0.115667389	 2.075333308
 0.508309784	 0.739503478
 0.411953204	 1.486772289
 1.261769596	 0.612972969
 1.121763708	 0.896076627
 0.660425908	 0.970780918
 0.201653152	 1.936061377
 0.506018553	 1.412664365
 0.426656585	 0.679193809
 0.943878804	 0.693735372
 0.144211162	 1.208316886
 0.608080087	 1.089907677
 0.665799682	 0.163203788
 0.839602669	 0.741156044
 0.291012662	 1.081805018
 0.549000353	 1.337682836
 0.442715810	 0.730220728
 1.937477386	 0.372952919
 0.422589487	 1.639210143
 0.571388030	 0.792032528
 0.997308448	 0.664640965
 0.319505976	 1.145306997
 0.781209911	 0.725312133
 1.304701818	 0.660393006
 0.282643200	 1.565764627
 0.456751299	 1.085844025
 1.823953848	 0.336176043
 1.778947647	 0.251957882
 0.672963378	 1.296171649
 0.431725678	 1.770495307
 1.292831817	 0.771850027
 1.310034269	 0.500125887
 1.263186576	 0.339231976
 0.977300609	 0.938572943
 0.856145260	 0.747342778
 0.776202142	 1.182804353
 0.845126113	 0.763632362
 0.251142480	 1.872401102
 0.475329184	 1.083421932
 0.685641655	 1.304110979
 1.503584012	 0.525901275
 0.616136414	 0.549791950
 0.658144326	 1.305264803
 0.224728148	 1.659731773
 0.598541101	 0.959210791
 0.306697316	 1.902961234
 0.349956571	 0.988719411
 0.527173778	 0.794861898
 1.006875348	 0.986443809
 0.376381085	 1.646436327
 1.150390822	 0.616621945
 0.640278144	 0.394109131
 0.682650934	 1.014208402
 0.511052935	 1.580794804
 1.783160071	 0.517488665
 1.243918978	 0.505929336
 0.219668410	 1.150748576
 0.377083371	 1.474936049
 0.278206733	 1.695163168
 1.242832073	 0.613520172
 0.725705637	 0.964845116
 0.442680542	 1.521213424
 0.161867580	 1.341388715
 0.458564884	 0.882035316
 1.366862083	 0.645666781
 0.678171722	 1.229541722
 0.855782084	 0.911361551
 0.058066813	 1.358905078
 0.227050044	 1.575287765
 0.480105096	 1.398663031
 0.580724447	 1.356283541
 0.739915512	 0.835810971
 0.968233605	 0.696872668
 0.304473863	 1.222720245
 1.795407428	 0.496191511
 1.366582393	 0.676682092
 0.513393908	 0.704838450
 0.599467666	 0.149393488
 0.755660710	 1.183698897
 0.667551332	 1.239047442
 0.079137111	 1.577531248
 0.702149365	 1.046882671
 0.277150587	 0.773767448
 1.337539522	 0.409356927
 0.481333281	 0.604916224
 0.617822676	 0.643284669
 0.600245147	 1.255202590
 0.873659359	 0.716895525
 0.163982847	 1.926405390
 0.670402717	 0.077337426
 0.291140955	 1.272992798
 0.709427844	 1.019919732
 0.387025504	 1.331301260
 0.374664681	 1.584702254
 0.484799266	 1.248097386
 0.641553799	 1.351693575
 0.420312004	 0.949240265
 0.865013574	 0.939342039
 0.890672530	 1.011852505
 1.016749405	 0.937782230
 0.258599495	 1.559560038
 0.814689387	 1.138324880
 0.478270291	 1.365002745
 0.748406440	 1.148313572
 0.843897709	 0.965926616
 0.607031303	 1.105456759
 0.278115582	 1.117677433
 0.501202298	 1.426120310
 0.945564580	 0.213115224
 0.387132682	 1.703763515
 0.651715300	 0.839250086
 1.664201977	 0.359934910
 1.171680559	 0.658750651
 0.845349488	 0.743747899
 1.452315047	 0.334572493
 0.582210249	 1.294249441
 0.386038624	 0.734195242
 1.118883206	 0.684086853
 0.364326785	 0.573869448
 0.258992959	 1.670256680
 0.032042899	 1.607756692
 0.496401995	 0.433500478
 1.779194345	 0.392006639
 0.882204540	 0.635916411
 0.429575874	 1.010823550
 0.126165096	 1.909225733
 0.487638130	 0.576872447
 0.688153680	 1.163039322
 0.441998891	 0.474355498
 0.287156872	 0.273416277
 1.032992795	 0.620165011
 0.491118319	 0.635013188
 0.492663579	 1.157006131
 0.173445008	 1.642683592
 0.411245259	 0.752320983
 0.483074065	 0.781381532
 0.345215544	 0.876369438
 0.211042138	 1.532017116
 0.269534398	 0.939374631
 0.353257142	 0.987072515
 1.442480299	 0.657097004
 0.354989481	 1.750004536
 0.637351873	 0.699068037
 1.192495041	 0.635180571
 0.800289712	 0.515347637
 0.840532435	 1.123778071
 1.818029297	 0.169401858
 0.696194245	 0.806504382
 0.820208547	 1.075948282
 1.026336056	 0.713924328
 1.501756149	 0.393922313
 0.683439996	 1.105727782
 1.387665989	 0.125140715
 0.696432146	 1.097500401
 0.330481420	 0.547897513
 0.508916789	 1.262852875
 0.438706015	 1.002298438
 0.575621882	 1.146196101
 0.436436014	 1.490956123
 0.433299253	 1.044981781
 0.562716075	 0.576887333
 0.470626838	 0.274569358
 0.149398956	 1.466038651
 1.276451763	 0.351041541
 0.290238404	 2.166902874
 0.688588277	 0.729731776
 0.492105755	 0.800482715
 0.593979539	 0.794591077
 0.573851798	 0.832571206
 0.458186536	 0.876452191
 0.911168527	 0.953622909
 0.196031558	 1.829688074
 0.416004127	 1.193573770
 1.539084522	 0.492237301
 0.147660121	 2.209083141
 1.597241114	 0.604583302
 1.051532529	 0.942177012
 1.519665545	 0.643842606
 0.297777092	 0.799872956
 0.783061119	 1.005836798
 0.450740740	 0.593826907
 0.500561948	 1.376688042
 0.553127608	 0.855195541
 0.710256162	 1.022120508
 0.458108625	 1.385012681
 0.627869936	 1.130922445
 0.528353157	 0.931383614
 0.648663454	 1.309957872
 0.504676398	 1.360001544
 0.372792122	 1.730972735
 1.201524882	 0.305592374
 0.466580859	 1.537165414
 1.469131702	 0.257134118
 0.644372355	 1.259648669
 0.922678186	 0.846800105
 1.222058431	 0.438519317
 0.431689979	 1.774654227
 0.549343683	 0.917880793
 0.471671182	 0.840043356
 0.401742829	 1.539573201
 0.681237612	 0.460100054
 0.273759799	 1.253445655
 0.596028582	 1.000226372
 0.898091267	 0.860694895
 1.257835326	 0.440883365
 0.977554582	 0.716835581
 0.069569077	 1.090024786
 0.615088365	 1.312825877
 1.160014710	 0.609404430
 0.467842075	 1.434522345
 0.827306634	 1.085838654
 0.725550403	 0.649136010
 0.745633909	 0.357254676
 0.659526127	 0.628352878
 0.308211016	 1.934401392
 0.736572426	 1.206559207
 0.719759693	 1.020225775
 0.421233813	 0.220987800
 0.659197386	 1.201943223
 0.548575457	 0.770380247
 0.959923847	 0.383143021
 0.748683196	 0.764995426
 0.720115416	 1.062187853
 0.923267328	 0.933578656
 0.278419747	 1.380845527
 1.159060188	 0.505285107
 0.568118344	 0.553338218
 0.603189540	 0.360397555
 0.362187630	 0.964108888
 0.838311571	 0.647423503
 1.653785448	 0.187365117
 0.411397421	 0.816173375
 1.077623590	 0.399691031
 0.684575934	 0.951435348
 1.276301299	 0.465425568
 0.224017777	 0.242358989
 0.649718516	 1.322987077
 0.312045583	 0.136042501
 1.367915826	 0.575073609
 0.390184246	 1.542711991
 1.330774940	 0.732860647
 0.264841192	 0.474909455
 0.298139166	 0.242963391
 0.880607824	 0.576806100
 0.650574790	 1.332592842
 0.553516497	 0.972096662
 0.854498655	 0.421404652
 0.434757025	 0.760778517
 0.352398594	 1.326011016
 0.791461789	 0.260283640
 0.296862203	 1.094636432
 0.273813078	 1.655401932
 0.771803900	 0.989161448
 1.046675999	 0.762211295
 0.369969985	 1.217704224
 1.563340986	 0.542713792
 1.698687364	 0.309649919
 0.732451890	 0.570912908
 2.102055332	 0.113754241
 0.849405207	 1.042131806
 1.588201304	 0.190575420
 0.651401430	 0.477388577
 0.319803055	 1.356973282
 0.876151325	 0.673865402
 0.250158237	 2.184097915
 1.960000041	 0.423951397
 1.316764810	 0.526110763
 1.097737136	 0.617236646
 1.249025742	 0.536822501
 0.580310302	 0.774198041
 0.267096339	 0.724216521
 0.940611149	 1.004504724
 0.529501316	 0.391553828
 0.274404337	 1.479902566
 1.637352628	 0.377297009
 1.419363986	 0.564876221
 0.513134916	 0.398829313
 0.914193537	 0.850910216
 0.097784011	 1.588256613
 0.340403430	 0.728675793
 1.308042056	 0.526370367
 0.102231708	 0.566373263
 0.579732752	 0.968406088
 0.765985282	 0.507090943
 1.128979896	 0.587524373
 0.473576246	 1.258474545
 0.838176069	 0.985309900
 0.347551158	 1.241595344
 0.339872609	 0.252400728
 1.100410641	 0.699182126
 1.007062101	 0.972467411
 0.738763174	 0.836514816
 0.918725348	 0.493601921
 0.353913241	 0.990885032
 0.877846976	 0.549342634
 0.208847928	 1.017462314
 0.435379434	 0.823263810
 1.682006092	 0.482338694
 0.908454296	 0.959596447
 0.353533916	 1.525055826
 1.409856550	 0.443845362
 0.670542846	 0.401612067
 0.888392403	 0.846903109
 1.320124866	 0.326596147
 1.371160185	 0.505936316
 0.552702444	 1.419877347
 0.337858034	 1.707706491
 1.199802163	 0.383891667
 0.161892585	 0.945111611
 0.355432288	 1.375780914
 1.015682828	 0.750964656
 0.682191405	 0.915472681
 1.075326234	 0.560591537
 0.600307406	 0.987846748
 0.889891997	 0.936680897
 1.312309459	 0.508639789
 0.636731182	 0.977386257
 1.270235950	 0.489102660
 0.915904463	 0.733632338
 1.540505483	 0.551515282
 0.919399028	 0.961526065
 0.741930023	 1.136852127
 0.792480425	 0.478567681
 0.495335906	 0.922249654
 0.502724687	 1.083100067
 0.181823058	 1.029202005
 0.708857419	 0.934752299
 0.323819101	 0.850433338
 0.943693745	 0.402131496
 0.908662054	 0.977316199
 0.668360458	 0.607327679
 0.480612275	 0.898992345
 0.981843764	 0.645978318
 1.321683673	 0.749210211
 1.428264820	 0.306429685
 0.774210868	 0.872612536
 1.594242432	 0.613112031
 0.704632060	 1.293112816
 1.263327480	 0.774136624
 0.583345167	 1.476269244
 1.011658981	 0.781706981
 0.649145356	 0.954270138
 0.720115360	 1.125583225
 1.250073787	 0.744583557
 1.433737603	 0.662906885
 1.614676097	 0.524885054
 1.221628679	 0.734239517
 1.460638233	 0.667186115
 1.348725753	 0.593531610
 1.202859484	 0.680267230
 0.364830669	 1.694256982
 1.580998721	 0.544173554
 1.667263417	 0.560083870
 1.253454326	 0.741968614
 1.006903613	 0.917635358
 1.953510702	 0.302209438
 0.413250879	 1.427066922
 0.684912801	 0.546327872
 0.552944046	 0.686866198
 0.614562815	 1.048869497
 0.719616767	 0.583298247
 1.523679687	 0.506135479
 0.553950194	 0.775053038
 0.248260133	 0.853239678
 0.185904729	 0.700324759
 0.490384400	 1.348280431
 0.293060940	 1.088418468
 0.845403532	 1.052968773
 0.686745366	 1.119920118
 0.969489556	 0.946422428
 0.683192111	 1.248979929
 1.049699315	 0.465568383
 0.860956121	 0.929942521
 0.368592984	 1.260468694
 0.606874113	 1.123699391
 0.799927473	 0.457666253
 1.272807602	 0.335057495
 1.699076421	 0.326941475
 0.494879165	 1.491907905
 0.173983418	 0.414136256
 1.224264407	 0.524786995
 0.144477700	 1.124688480
 0.459324777	 0.657368121
 0.043149155	 2.123107201
 0.563611640	 1.318643136
 0.533780616	 1.042621029
 1.467352142	 0.181212397
 1.625161632	 0.438698333
 0.407962636	 1.705078254
 0.362163636	 1.377750846
 0.101706755	 1.818057125
 0.453563184	 1.212728355
 0.598960295	 1.062998859
 0.705292405	 0.453475428
 1.181369315	 0.597130219
 0.191254334	 1.600468450
 0.627477543	 0.678321991
 0.199553152	 2.559784595
 0.294158230	 1.801546485
 0.582381849	 0.425747658
 0.668420017	 0.742405099
 1.119469600	 0.082546588
 0.912775123	 0.572456290
 0.287495419	 1.428694914
 0.066876845	 0.413394437
 0.911192341	 0.422343487
 0.582399104	 1.070594408
 1.782539770	 0.417487490
 0.909574821	 0.533622983
 0.667277999	 1.088806801
 0.236752386	 0.609611621
 0.318910147	 0.607543736
 1.654352267	 0.367173312
 0.718350875	 0.740603023
 0.297940518	 0.325982732
 0.876874082	 0.795797301
 0.754087791	 0.840321110
 2.186718817	 0.306970043
 0.425116162	 1.599305277
 1.532505116	 0.347207047
 1.570235879	 0.467413602
 1.674071361	 0.511822824
 1.248231698	 0.689718816
 1.344759737	 0.337508089
 1.428132089	 0.340854148
 0.222311112	 1.406943844
 0.662495226	 0.779391589
 1.167827187	 0.745588283
 1.507480883	 0.593896128
 0.191523623	 1.046071769
 0.948487351	 0.533768815
 1.314225165	 0.530630241
 0.860805015	 0.870995186
 0.363748606	 1.139387940
 0.764519872	 0.828109869
 1.085408278	 0.389173583
 1.626795704	 0.583495115
 1.194233592	 0.402055117
 1.299013384	 0.708929085
 0.614956692	 1.186413963
 0.484965881	 0.423568255
 0.389666383	 1.359835825
 0.483092527	 1.216998307
 0.476506330	 0.989908449
 0.667765837	 1.252319426
 0.362131867	 1.083665518
 0.627560923	 0.324970500
 0.475571883	 1.218587888
 0.254544007	 0.818310454
 0.809686190	 0.811174857
 0.374655812	 0.987452981
 1.019922261	 0.658169734
 0.333325452	 1.222328151
 0.648253740	 1.344607637
 0.948773549	 0.781302766
 0.694588206	 0.904644614
 1.086245140	 0.315057284
 0.952753615	 0.862552597
 0.592511554	 0.951756362
 0.511965945	 1.010584172
 1.383922866	 0.344977212
 0.261425351	 1.474626446
 0.899652544	 1.075859611
 0.898809369	 0.847826384
 0.098266804	 1.171215251
 2.024064312	 0.218473212
 0.389709887	 0.912682825
 0.603444503	 0.686686004
 0.711688639	 0.729292167
 0.223444015	 0.241646415
 1.658873031	 0.334237541
 0.613815075	 0.755265550
 0.247783808	 0.514355647
 0.663858901	 0.508616842
 0.405992304	 1.394637769
 0.881321250	 0.565369175
 0.798236153	 0.318925320
 1.165181514	 0.574608603
 1.313982161	 0.554437187
 0.645003109	 1.006966598
